number,label,Instance
1,器物,朱扉
2,时间,年时
3,时间,春
4,器物,斜桥
5,器物,夹城
6,器物,玉勒
7,器物,燕脂
8,器物,绣户
9,概念,恨
10,概念,怨
11,时间,春
12,概念,消瘦
13,概念,泪
14,时间,旧日
15,器物,堂
16,时间,春
17,概念,梦
18,人物,刘郎
19,概念,风流
20,概念,悲
21,地名,武陵溪
22,其他,往事
